Country,Population,Happiness,Temp
Argentina,44271041,7.1,14.8
Azerbaijan,9827589,5.8,11.95
Brazil,209288278,6.9,24.95
Burundi,10864245,2.9,19.8
Cambodia,16005373,4.9,26.8
Canada,36624199,8,-5.35
Congo (Kinshasa),5260750,4.4,24.275
Ecuador,16627858,6.8,21.85
Ethiopia,104957438,4.2,22.2
Georgia,3912061,4.3,5.8
Greece,11159773,6.5,15.4
Honduras,9265067,7,23.5
Iran,81162788,8,17.25
Kazakhstan,18204499,6.5,6.4
Mexico,129163279,8.3,21
Mozambique,29668834,3.8,23.8
New Zealand,4705818,7.4,10.55
Peru,32165485,6.5,19.6
Russia,143989754,5.6,-5.1
Spain,46354321,7,13.3
Tunisia,11532127,5.5,19.2
Turkey,80745020,6,11.1
United States of America,325202747,7.3,8.55
Zambia,17094130,5,21.4
