Country,Population,Happiness
Argentina,44271041,7.1
Azerbaijan,9827589,5.8
Brazil,209288278,6.9
Burundi,10864245,2.9
Cambodia,16005373,4.9
Canada,36624199,8
Congo (Kinshasa),5260750,4.4
Ecuador,16624858,6.8
Ethiopia,104957438,4.2
Georgia,3912061,4.3
Greece,11159773,6.5
Honduras,9265067,7
Iran,81162788,5.8
Kazakhstan,18204499,6.5
Mexico,129163276,8.3
Mozambique,29668834,3.8
New Zealand,4705818,7.4
Peru,32165485,6.5
Russia,143989754,5.6
Spain,46354321,7
Tunisia,11532127,5.5
Turkey,80745020,6
United States of America,325202747,7.3
Zambia,17094130,5
